city_name,latitude,longitude,total_pop
Heel,51.1667,5.88333,4474
Ootmarsum,52.4072,6.89944,4460
Workum,52.9833,5.45,4435
Harkema,53.1833,6.13333,4295
Vries,53.0733,6.57694,4292
Koudekerk aan den Rijn,52.1347,4.60194,4257
Elst,51.9856,5.49861,4220
Hippolytushoef,52.9,4.96667,4217
Zoeterwoude-Dorp,52.1192,4.49667,4205
Vijfhuizen,52.35,4.68333,4194
Rijsenhout,52.2667,4.7,4103
Balk,52.8958,5.58194,4090
Doornspijk,52.4192,5.81611,4090
Bruinisse,51.6603,4.09333,4073
Ospel,51.2978,5.78556,4054
Dwingeloo,52.8344,6.37056,4030
De Rijp,52.5569,4.84528,4020
Achterberg,51.9717,5.58556,4000
Avenhorn,52.6167,4.95,4000
Spanbroek,52.6981,4.96083,4000
Ambt Doetinchem,51.9658,6.30194,3996
Nieuwveen,52.1944,4.75694,3970
Sint Annaparochie,53.2833,5.66667,3945
Zuidbroek,53.1625,6.86056,3910
Groot-Ammers,51.9167,4.81667,3886
Kamerik,52.1108,4.89278,3808
Putte,51.3667,4.38333,3751
Hank,51.7333,4.9,3700
Gulpen,50.8167,5.9,3660
Gulpe,50.8167,5.9,3660
Benschop,52.0072,4.97944,3650
Middenbeemster,52.5483,4.91972,3628
Annen,53.0586,6.71833,3610
Beesd,51.8875,5.19111,3609
Ochten,51.9078,5.56778,3587
Lisserbroek,52.25,4.56667,3579
Kwintsheul,52.0167,4.25,3560
Heinenoord,51.8333,4.48333,3559
Ammerzoden,51.75,5.21667,3548
Albergen,52.3717,6.76194,3542
Sint-Maartensdijk,51.5478,4.075,3512
Beetsterzwaag,53.0611,6.0775,3485
Dalen,52.7,6.75,3470
Nieuwendijk,51.7706,4.92222,3465
Makkum,53.055,5.40361,3460
Arkel,51.8639,4.99444,3445
Sint-Annaland,51.5997,4.10278,3445
Kockengen,52.1517,4.95222,3440
Ewijk,51.8833,5.7,3437
Feanwâlden,53.2372,5.98528,3430
Koudekerke,51.4975,3.55278,3419
Benthuizen,52.0833,4.55,3409
Akkrum,53.05,5.83611,3395
Bovensmilde,52.9758,6.48111,3378
Sint Nicolaasga,52.9167,5.75,3330
Uithuizermeeden,53.4144,6.72639,3325
"Driehuis, Netherlands",52.4472,4.63667,3320
Maurik,51.96,5.42361,3300
Dreumel,51.85,5.43333,3288
Dronryp,53.2,5.65,3281
Santpoort-Zuid,52.4167,4.63333,3280
The Swaen (Form. Mouterij Kloosterzande and Brouwerij de Zwaan),51.3711,4.015,3279
Jubbega,53.005,6.125,3275
Oosthuizen,52.5708,4.99583,3224
Haulerwijk,53.0653,6.33139,3214
Nieuw-Beijerland,51.8119,4.3425,3200
Gronsveld,50.8,5.71667,3200
Groéselt,50.8,5.71667,3200
Sint Jansteen,51.2633,4.05111,3178
Hoogwoud,52.7153,4.93667,3170
Havelte,52.7667,6.23333,3170
Middenmeer,52.8086,4.99833,3163
Nieuwe Niedorp,52.7414,4.90056,3160
IJlst,53.0167,5.61667,3140
Hoek,51.3094,3.77917,3139
Sint Eustatius,17.4833,-62.9833,3138
Tuitjenhorn,52.7333,4.75,3100
Muiderberg,52.3333,5.11667,3070
Loenen,52.1164,6.01889,3066
Weerselo,52.3508,6.85667,3064
Asperen,51.8814,5.10667,3020
Cothen,51.9961,5.30972,3000
Brakel,51.8167,5.08333,2994
Kollumerzwaag,53.2611,6.07917,2992
Winkel,52.7519,4.90361,2970
Goutum,53.1786,5.80639,2945
Uddel,52.2575,5.7825,2927
Haaften,51.8169,5.21167,2881
Zaamslag,51.3125,3.91306,2845
Grijpskerk,53.2642,6.30611,2809
De Goorn,52.6303,4.94444,2800
Zoeterwoude-Rijndijk,52.1422,4.52556,2800
Bleskensgraaf,51.8667,4.78333,2788
Giethoorn,52.7389,6.07806,2785
Oud-Vossemeer,51.5706,4.19972,2767
Zevenhoven,52.1825,4.77889,2750
Hallum,53.3167,5.78333,2746
Koudum,52.9167,5.45,2700
Hierden,52.35,5.66667,2690
Nieuwerkerk,51.6486,4.00111,2688
Sint Philipsland,51.6169,4.16444,2686
Nieuwerkerk,51.6486,4.00111,2680
Ursem,52.6333,4.9,2670
Bellingwolde,53.1167,7.16528,2655
Rossum,51.8008,5.33556,2630
Menaldum,53.2158,5.66056,2609
West-Terschelling,53.3608,5.21556,2602
Nijnsel,51.5514,5.48361,2600
Westkapelle,51.5294,3.45722,2594
Berltsum,53.2431,5.65139,2529
Achterveld,52.1361,5.49694,2520
Kootstertille,53.2167,6.1,2503
Herwijnen,51.8253,5.13028,2500
Haamstede,51.6967,3.74361,2460
Clinge,51.2706,4.08806,2459
Oostkapelle,51.5667,3.55083,2456
Scheemda,53.1667,6.96667,2445
Weurt,51.85,5.81667,2439
Aardenburg,51.2744,3.44528,2438
Oosterland,51.6494,4.03556,2415
Zuid-Beijerland,51.7514,4.36778,2407
Wijk aan Zee,52.5,4.6,2400
Waarland,52.7333,4.83333,2370
Beerta,53.1739,7.095,2365
Rossum,52.3522,6.92306,2363
Broek in Waterland,52.4361,4.99417,2350
Zegveld,52.1161,4.83472,2348
Sluiskil,51.2781,3.83833,2342
Waardenburg,51.8322,5.25583,2330
Halfweg,52.3833,4.75,2330
Nibbixwoud,52.6928,5.05528,2330
Gameren,51.8011,5.20028,2328
't Zand,52.8372,4.75472,2320
Boekelo,52.2044,6.80194,2306
Gytsjerk,53.2408,5.89306,2300
Noardburgum,53.2233,6.0,2250
Blijham,53.1097,7.07639,2240
Wommels,53.1086,5.58778,2216
Oud-Alblas,51.8667,4.7,2180
Warffum,53.3833,6.55,2175
Heeg,52.9692,5.6075,2175
Hoogeloon,51.3989,5.26861,2170
