city_name,latitude,longitude,total_pop
Ludwin,51.3333,22.9,5041
Wieprz,49.8894,19.365,5002
Siepraw,49.9167,19.9833,5000
Radziechowy,49.6467,19.1258,5000
Krzemieniewo,51.85,16.8167,5000
Niemce,51.3592,22.63,5000
Strzałkowo,52.31,17.8181,4953
Pcim,49.75,19.9667,4900
Sękowa,49.6,21.2,4889
Budzyń,52.8894,16.9886,4861
Sułkowice,49.8261,19.3592,4835
Rędziny,50.8581,19.2142,4753
Jabłoń-Dąbrowa,52.9117,22.6986,4736
Moszczenica,49.7214,21.1089,4706
Kobiór,50.0603,18.9394,4702
Żurawica,49.8217,22.7978,4702
Pisarzowice,49.8833,19.1333,4673
Bulowice,49.8333,19.25,4664
Bestwina,49.8964,19.0594,4618
Komorów,52.1444,20.8153,4570
Koszęcin,50.6333,18.8333,4563
Iwonicz,49.6078,21.8044,4509
Kleszczów,51.2228,19.3042,4500
Gdów,49.9072,20.1986,4500
Dobrzeń Wielki,50.7667,17.8667,4500
Ligota,49.8806,18.9483,4454
Jabłonka,49.48,19.6933,4400
Zabierzów,50.1181,19.7797,4400
Tarnowo Podgórne,52.4667,16.6667,4397
Cięcina,49.6,19.1333,4373
Suchy Las,52.4753,16.8825,4367
Chotomów,52.4167,20.8833,4349
Lipowa,49.6789,19.1039,4322
Milówka,49.5631,19.0875,4300
Witaszyce,51.9333,17.5667,4300
Humniska,49.6667,22.0667,4300
Zebrzydowice,49.9,19.6333,4300
Kazimierz Biskupi,52.3081,18.1617,4280
Pietrzykowice,49.6833,19.15,4279
Goleszów,49.7357,18.7398,4276
Szamocin,53.0303,17.1206,4267
Węgierska Górka,49.6078,19.1167,4206
Kamieniec Ząbkowicki,50.5264,16.8781,4200
Biały Dunajec,49.3744,20.0089,4200
Suszec,50.0333,18.8,4130
Raba Wyżna,49.5667,19.9,4116
Buczkowice,49.7281,19.0694,4102
Rybie,52.1536,20.9433,4100
Markowa,50.0203,22.3003,4100
Przecław,53.3761,14.4722,4100
Jodłowa,49.8667,21.3,4100
Bratkowice,50.1167,21.8667,4100
Nakło Śląskie,50.4358,18.9056,4100
Jeleśnia,49.6417,19.3269,4098
Giedlarowa,50.2167,22.4,4096
Szczucin,50.3,21.0667,4069
Pszczółki,54.1725,18.6981,4053
Kadzidło,53.2331,21.4667,4032
Kamienica,49.5667,20.3333,4000
Przysietnica,49.73,22.0511,4000
Małaszewicze,52.0167,23.5167,4000
Celestynów,52.05,21.3833,4000
Czyżew Kościelny,52.8,22.3167,4000
Gawłów,52.2583,20.2542,4000
Osiek nad Notecią,53.1167,17.3,4000
Baniocha,52.0206,21.1303,4000
Skawa,49.6167,19.9,4000
Poraj,50.6789,19.2161,4000
Przeciszów,50.0167,19.3833,3996
Wielopole Skrzyńskie,49.95,21.6167,3982
Strzebiń,50.6,18.8833,3951
Górki Wielkie,49.7728,18.854,3950
Płaza,50.1,19.4667,3900
Jankowice Rybnickie,50.0333,18.55,3900
Kościelisko,49.2908,19.8883,3900
Chybie,49.8949,18.8133,3900
Świerklany Górne,50.0167,18.5833,3900
Hyżne,49.9333,22.1833,3900
Poronin,49.3444,20.0064,3900
Bystra,49.7619,19.0722,3887
Targanice,49.8167,19.3167,3860
Porąbka,49.8,19.2167,3852
Sarzyna,50.35,22.35,3837
Polanka Wielka,49.9833,19.3167,3800
Tarnów Opolski,50.5833,18.0833,3800
Wola Żarczycka,50.3,22.25,3793
Banie Mazurskie,54.2383,22.0392,3770
Nowa Iwiczna,52.0833,21.0,3755
Gierałtowice,50.2167,18.7167,3752
Mazańcowice,49.8571,18.9793,3745
Roczyny,49.85,19.3167,3728
Stara Wieś,49.6833,20.4008,3715
Krościenko Wyżne,49.6811,21.8169,3700
Ropa,49.6,21.05,3700
Lubatowa,49.5492,21.7586,3700
Besko,49.5833,21.95,3700
Czemierniki,51.6731,22.6317,3700
Jedlnia-Letnisko,51.4297,21.3344,3692
Koniaków,49.5517,18.9408,3643
Lubomia,50.0333,18.3,3600
Świerklaniec,50.4333,18.95,3600
Pogwizdów,49.8044,18.6015,3571
Mnich,49.8839,18.8068,3569
Mszana,49.9692,18.5156,3559
Krościenko nad Dunajcem,49.4375,20.4297,3552
Jejkowice,50.1069,18.4678,3540
Osobnica,49.7,21.4167,3536
Wieprz,49.6381,19.1744,3535
Pruchnik,49.9167,22.5167,3519
Czarny Dunajec,49.4394,19.8542,3501
Kasinka Mała,49.7167,20.0333,3500
Krasne,50.0492,22.0906,3500
Leszno,52.2667,20.6,3500
Stróże,49.64,20.98,3500
Tarnowiec,49.9811,20.9858,3500
Tworóg,50.5333,18.7,3500
Krokowa,54.7806,18.1597,3500
Himmelwitz,50.5442,18.3806,3500
Jemielnica,50.5442,18.3806,3500
Kosina,50.0667,22.3167,3500
Żarki,50.0831,19.35,3500
Stara Wieś,49.7194,22.0142,3500
Rytro,49.49,20.6678,3500
Jugów,50.6342,16.5117,3500
Osielsko,53.1833,18.0667,3482
Chmielnik,49.9739,22.1456,3466
Rybarzowice,49.7292,19.1044,3448
Zalasewo,52.3833,17.0833,3445
Mrozy,52.1661,21.8022,3440
Rajcza,49.5069,19.1075,3438
Kotlin,51.91,17.65,3416
Balin,50.1656,19.39,3400
Gostyń,50.1033,18.8828,3400
Lubicz Górny,53.0167,18.7667,3400
Miłoradz,54.0142,18.9181,3397
Konin,51.6836,15.695,3390
Haczów,49.6644,21.9014,3370
Andrespol,51.7244,19.6378,3367
Bełk,50.1308,18.71,3358
Kobiernice,49.85,19.2167,3345
Gołkowice,49.9122,18.5031,3345
Nędza,50.15,18.3,3344
Michałowo,53.0367,23.6036,3343
Gorzkowice,51.2167,19.6,3310
Rybna,50.0511,19.6472,3300
Świerklany Dolne,50.0167,18.5833,3300
Przerośl,54.2519,22.6561,3300
Szczerców,51.3333,19.1167,3300
Skrzyszów,49.9928,21.0628,3300
Niedrzwica Duża,51.1133,22.3867,3300
Garbatka-Letnisko,51.4933,21.6319,3295
Kończyce Małe,49.8479,18.6314,3294
Godów,49.925,18.4783,3280
Skrzyszów,49.9478,18.4917,3280
Tenczynek,50.1167,19.6167,3275
Nowa Wieś,49.9067,19.2175,3272
El Banino,54.3933,18.4083,3267
Zblewo,53.9347,18.3294,3263
Lepsze,52.7431,18.6647,3256
Dobrzyca,51.865,17.6019,3250
Męcina,49.6786,20.5472,3248
Libusza,49.6833,21.2667,3240
Nieporęt,52.4244,21.0336,3239
Dębnica Kaszubska,54.3739,17.1606,3220
Bojszowy,50.05,19.1,3219
Turka,51.2833,22.6667,3214
Cisiec,49.5833,19.1,3214
Inwałd,49.8639,19.3978,3202
Brzóza Królewska,50.25,22.3333,3200
Lubień,49.7333,19.9833,3200
Sidzina,49.6087,19.7259,3200
Piekoszów,50.8817,20.4617,3200
Kłaj,49.9833,20.3,3200
Przyszowice,50.25,18.75,3199
Nadarzyn,52.0939,20.8053,3198
Jaworzynka,49.5291,18.8597,3196
Mielno,54.26,16.0608,3174
Mielno,54.26,16.0608,3174
Międzybrodzie Bialskie,49.7833,19.1833,3154
Brzoza,53.0311,18.0089,3149
Aleksandrów,50.4644,22.9061,3135
Laskowa,49.7628,20.4522,3133
Jasienica,52.4,21.3833,3133
Wieliszew,52.45,20.9667,3122
Łużna,49.7125,21.0506,3120
Czarnowanz,50.7167,17.9,3108
